trans,date,pono,outgono,qty,amount,refno,time,user,supplier,suppcode,remark,purposed,purpose
102634,02-Jan-19,65589,0,4080,20400,0000001453,15:57:22,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
102754,14-Jan-19,65908,0,4050,19683,0000001568,15:38:17,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
102802,22-Jan-19,65921,0,4020,19537.2,0000001612,15:35:46,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
102863,29-Jan-19,65932,0,3000,14580,0000001672,23:23:45,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
102953,12-Feb-19,65940,0,2730,13650,0000001757,11:50:09,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103022,22-Feb-19,66271,0,3390,17420,0000001816,15:40:48,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103071,01-Mar-19,65946,0,2760,13800,0000001864,14:06:29,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103100,05-Mar-19,66276,0,2370,12181.8,0000001889,14:08:15,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103176,12-Mar-19,66282,0,3780,19625,0000001963,17:14:38,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103195,15-Mar-19,66285,0,3060,16150,0000001982,16:12:49,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103234,19-Mar-19,66290,0,3390,17995.8,0000002021,15:53:42,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103286,26-Mar-19,66298,0,4020,21775,0000000057,17:42:12,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103380,29-Mar-19,66652,0,3450,18208.33,0000000151,15:12:47,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103444,05-Apr-19,66660,0,3360,17733.33,0000000214,15:45:14,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103506,15-Apr-19,66667,0,1680,8866.67,0000000276,16:15:21,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103534,17-Apr-19,66672,0,3390,17891.67,0000000302,15:30:28,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103563,23-Apr-19,66677,0,4080,21133.33,0000000331,16:04:49,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
103680,30-Apr-19,66682,0,4230,21150,0000000445,15:07:21,MARCIAL,A.S. CUASON GEN. MERCHANDISE,0039,,TO DISPLAY AREA,7
102763,10-Jan-19,111685903,0,1296,9720,0000001576,18:33:02,MARCIAL,ACC INTERNATIONAL TRADING,0622,,TO DISPLAY AREA,7
102882,24-Jan-19,16217,0,800,360,0000001689,19:09:45,MARY GRACE M.,ACCESSORIES GENERAL MERCHANDISE,0689,,TO DISPLAY AREA,7
103230,13-Mar-19,21658,0,432,1975.92,0000002017,20:10:36,MARCIAL,ACCESSORIES GENERAL MERCHANDISE,0689,,TO DISPLAY AREA,7
102853,24-Jan-19,1242019,0,77,13986,0000001662,16:08:18,MARY GRACE M.,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103068,07-Feb-19,2072019,0,69,17476,0000001861,23:14:41,MARCIAL,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103104,21-Feb-19,2212019,0,60,12720,0000001893,17:15:01,MARCIAL,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103161,07-Mar-19,3072019,0,63,19879.92,0000001948,21:40:39,MARY GRACE M.,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103215,13-Mar-19,3132019,0,26,7129.96,0000002002,17:18:34,MARY GRACE M.,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103386,28-Mar-19,3282019,0,68,12399.88,0000000157,16:44:08,MARY GRACE M.,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
103510,11-Apr-19,4112019,0,77,18009.96,0000000280,18:08:42,MARY GRACE M.,AGREE COMMERCIAL,0483,,TO DISPLAY AREA,7
