name,address,tinNumber,taxClass,code,principal,terms,remark,active
4RM Distribution Inc.,"95 San Jose, Mesulo, Arayat, Pampanga",009-910-040-000,vat,4RM,King Cup,,,
A.S. Cuason Gen. Merchandise,"Lazatin Blvd., Villa Victoria, San Juan, City Of San Fernando, Pampanga",151-196-543-000,nonvat,ASC,,7 days,,
Accessories General Merchandise  ,"Tall C - Sun Joy Tower 525 Lavezares St., San Nicolas, Manila   ",423-356-487-000,vat,AccGM,,,,
Ace Classic Consumer Sales Inc.,"3 Via Valles Cmpd, Panipuan Rd, Baliti, City Of San Fernando, Pampanga        ",006-719-180-000,vat,AceClassic,Del Monte,15 days,,
Acro Distribution and Logistics Inc.,"Roman Hi Way, Cataning, Hermosa Bataan",205-810-140-002,vat,ACRO,URC,15 days,,
ACS Manufacturing Corporation,"Via Valle Warehouse, Brgy. Baliti, San Fernando, Pampanga",003-891-667-00024,vat,ACS,,30 days,,
Advect Marketing Corporation,"Mac Arthur Hi-Way, Balangas San Matias, Sto. Tomas, Pampanga",224-358-059-005,vat,Advect RFM Swift,RFM,30 days,,
Advect Marketing Corporation,"Mac Arthur Hi-Way, Balangas San Matias, Sto. Tomas, Pampanga",224-358-059-005,vat,Advect Abbott,Abbott,,,
Ajinomoto Philippines Corporation,"Wh 3 VLI Cmpd, Old Cabalan, Olongapo City",000-316-893-039,vat,Ajinomoto,Ajinomoto,7 days,,
Ale Mart Corporation,"1938 Mactan Hiwy Old Cabalan, Olongapo City",000-078-051-00004,vat,Ale Mart,ABI,30 days,,
Ambo Marketing,"Mc. Arthur, Hi-Way, Sindalan, City Of San Fernando, Pampanga",443-077-224-000,vat,Ambo,,,,
Apo Fortuna Food Corporation,"161 A. De Jesus St., Brgy. 89, Caloocan City",203-717-099-000,vat,Apo,,30 days,,
Auren Crystal Rice Dealer                         ,"#27 23rd St., West Bajac-Bajac, Olongapo City        ",178-955-959-000,nonvat,Auren,,COD,,
Beaumont Inc.   ,"522 Lavezares St., Brgy.281 Zone 26, San Nicolas, Manila",000-320-304-000,vat,Beaumont,,,,
Beauty Zone Enterprises,"Stall 24-26 G/F Ongsiako Bldg. 845 Tabora St., Brgy. 269 Zone 25, San Nicolas, Manila",400-999-944-000,vat,Beauty Zone,,,,
"Benby Enterprises, Inc.",Ccmc Compound Muralla Industrial Park Iba Meycauayan Bulacan,000-379-609-013,vat,Benby,Gymboree,15 days,,
"Big ""E"" Food Corporation","91 Sampaloc St. Barrio Libtong, Meycauayan, Bulacan",206-635-526-000,vat,Big E,,15 days,,
"Brandlines Enterprises, Inc.","Molson Park C.A Yuolo Ave, Canlubong Indtrial Park, Calamba City",007-066-364-007      ,vat,Brandlines,,,,
Brotherhood Plastic Enterprises,"4897 Valenzuela St, Mapa Brgy 600 Zone 59, Sta Mesa Manila",136-367-255-000,vat,Brotherhood,,30 days,,
Caysing Marketing,"44 Canda East Bajac-Bajac, Olongapo City",223-864-542-000,vat,Caysing,Baguio Oil,15 days,,
"Centerpoint CSGT Distribution, Inc.","L31-B1 Glowdell Ave., Fbic Tikay, Malolos City  Bulacan",216-666-854-000,vat,Centerpt,,30 days,,
Classicbrand Distributorship Inc.,"Via Valle Compound, Panipuan Rd., Brgy. Baliti, City Of Sn Fernando, Pampa     ",007-827-319-000,vat,ClassicBrand,"Nutri Asia
papa catsup",15 days,,
CMDV Trading ,"P Sacdalan St., Mabatang, Abucay, Bataan",402-693-723-000,vat,CMDV,,15 days,,
CMI Sales Services Inc.,"140 Sct Fuentebella Sacred Heart,District 4 , Quezon City ",205-287-792-000,vat,CMI,,15 days,,
"Coca-Cola Femsa Philippines, Inc. (Pamp)","Km 72 Mc. Arthur Hi-Way, San Isi City Of San Fenando",000-112-104-206,vat,Coca-cola ,,30 days,,
"Commonwealth Foods, Inc.","Sen. Gil Puyat Ave., Cor. Chino Roces Ave., San Antonio, Makati",000-112-370-00000,vat,Comfoods,,15 days,,
Consumer Reach Inc.,"San Juan Nepomuceno, Guagua, Pampanga",008-079-712-000,vat,ConReach,Century Tuna,15 days,,
Convoy Marketing Corp.,"147 Kaingin Road, Balintawak Quezon City",003-059-693-000,vat,Convoy,,30 days,,
Cosmetics Revelation Corporation  ,"3 PAGATAAN ST., DISTRICT I MANRESA, QUEZON CITY",232-695-253-000,vat,CosRev,,,,
Crystal City Marketing Co,"Baliti/Panipuan Road, Brgy Baliti, City Of San Fernando, Pampanga",211-512-550-000,vat,CCMC CSFP,unilever nonfood,,,
Crystal City Marketing Co (Olongapo),"KDIC Bldg., National Hi-Way, Old Cabalan, Olongapo City",211-512-550-003,vat,CCMC Olo,,,,
Crystal Repacking,"North Cubao Road, Cubao, Quezon City, Manila",104-006-419-000,vat,Crystal,,30 days,,
DC Goldrich General Merchandise      ,"San Nicolas, City Of San Fernando, Pampanga",229-980-488-000,nonvat,Donna,,,,
DFSC Foodstuffs Center,"631-633 Sta.Elena St, Brgy. 266 Zone 25, San Nicolas, Manila",100-657-578-000,vat,DFSC,,,,
Double L Beauty Products,"733-735- Bulucan St., Gagalangin, Brgy. 161, Zone 014, Tondo, Manila",100-082-463-004,vat,RDL,RDL,30 days,,
E.E.A Marketing,"J.P Rizal St., Kalayaan Village, City Of San Fernando, Pampanga",102-693-854-000,vat,EEA,,15 days,,
EHT Trading,"Consunji St., Sto. Rosario, City Of San Fernando, Pampanga",102-682-664-000,vat,EHT,,15 days,,
EB2Y Enterprises Inc.,"Purok 2 San Simon, Dinalupihan, Bataan",007-530-706-008,vat,EB2Y,Cosmetique Asia,15 days,,
EBG Enterprises ,"Dr. F. Anacleto, Balanga City, Bataan",008-680-515-005,vat,EBG,,,,
Elixium Inc.,"Mac Arthur Hi-Way, Saguin City Of San Fernando, Pampanga",008-987-724-000,vat,Elixium,Mega soft,15 days,,
"Emperador Distillers, Inc.","Bldg. 3 Lot Bo. Baliti, San Fernando City, Pampanga",238-684-383-003,vat,Emerador,allec dominique,30 days,,
Enriquez Multi-Sales,"427 M De Santos St., Binondo, Manila",103-892-631-000,vat,Enriquez,,,,
ESS Marketing,"63 Banaoang, Mangaldan, Pangasinan",132-779-539-000,vat,ESS,,30 days,,
"Ever Bilena Cosmetics, Inc.","246 Reparo Road, Zone 14 Dist. 1, Baesa, Barangay 160, Caloocan City",235-439-442-00000,vat,EverBilena,,,,
Exal's Rice & Poultry Supply ,"42 Baretto St., East Bajac- Bajac, Olongapo City",117-041-512-000,nonvat,Exal's,,15 days,,
F.A.B ENTERPRISES,"1458 Rina St., Sta. Maria Village1. Balibago, Angeles City     ",161-975-806-000    ,vat,FAB,,30 days,,
"Full Line Distributors, Inc.","Ramar Village, San Agustin, City Of San Fernando Pampanga",004-091-159-000,vat,FLDI,CDO,15 days,,
G528 Corporation ,"2nd Floor, Room B., Lots 9 & 10 Greenwood Park Cbd Area, Sbfz",008-088-449-000,vat,G528,smile,30 days,,
Gabby's Marketing (Bataan) Inc.,"1 National Hiway, San Ramon, Dinalupihan, Bataan",004-087-057-000,vat,Gabby's,Leslie,15 days,,
GAC Distribution Center Corporation,"Carmen West Rosales, Pangasinan",006-150-678-000,vat,GAC,GSM,15 days,,
"Gardenia Bakeries (Philippines), Inc.","Teco Industrial Park. Bo. Bundagul, Mabalacat City Pampanga",004-526-681-00003,vat,Gardenia,Gardenia,30 days,,
